k-mer,learning_rate,lambda,train_accuracy,test_accuracy,sn,sp,mcc,auc
3-mer,0.0001,0.008,0.9171,0.8150,0.9100,0.7200,0.6417,0.8732
6-mer,5e-05,0.0005,0.9158,0.8150,0.8300,0.8000,0.6303,0.8515
