k-mer,learning_rate,lambda,train_accuracy,test_accuracy,sn,sp,mcc,auc
3-mer,5e-05,0.0007,0.8956,0.7975,0.7600,0.8350,0.5967,0.8324
6-mer,4e-05,1e-05,0.8622,0.7900,0.7200,0.8600,0.5858,0.8299
